Symbol,Market_Cap_Atual
BIVIW,0.0
BIXI,227700000.0
BIXIU,0.0
BIXIW,0.0
BIYA,1033196.72
BJDX,4014694.2
BJRI,1117259679.84
BKCH,0.0
BKHA,49469102.07
BKHAR,2373600.0
BKHAU,0.0
BKMI,0.0
BKMS,0.0
BKNG,130907962977.84
BKR,58214591139.96
BL,1555687518.84
BLBD,2332986541.08
BLCN,0.0
BLCR,0.0
BLDP,1257154290.33
BLFS,1211175317.85
BLIN,12977875.37
BLIV,25532284.7
BLKB,1238788898.82
BLLN,4321658729.52
BLMN,706317867.75
BLNE,35855519.95
BLNK,89083000.58
BLRK,172327500.0
BLRKU,0.0
BLRKW,0.0
BLRX,14185423.82
BLSG,0.0
BLTE,5815945853.19
BLUW,268144560.0
BLUWU,0.0
BLUWW,0.0
BLZE,699771763.46
BLZR,278025000.0
BLZRU,0.0
BLZRW,0.0
BMBL,365207270.4
BMEA,88928311.2
BMGL,10848776.4
BMHL,83949844.01
BMM,620680570.72
BMNG,0.0
BMOP,0.0
BMR,24226572.24
BMRA,5438873.44
BMRC,427570161.87
BMRN,10920570747.0
BNAI,130191817.86
BNAIW,0.0
BNBX,3094808.04
BNC,97373559.07
BNCWW,0.0
BNCWZ,0.0
BND,0.0
BNDP,0.0
BNDW,0.0
BNDX,0.0
BNGO,13196250.0
BNKK,12321447.6
BNR,66632766.48
BNRG,2201076.24
BNTC,442483821.92
BNTX,22916371731.82
BNZI,6843933.0
BNZIW,0.0
BODI,42780974.28
BOEG,0.0
BOEU,0.0
BOF,66012089.3
BOKF,8215966118.24
BOLD,58406688.6
BOLT,8185875.42
BON,7365234.91
BOOM,136117566.55
BOSC,31371654.5
BOT,626037295.42
BOTJ,111538947.9
BOTT,0.0
BOTZ,0.0
BOXL,2472224.2
BPAC,60186170.0
BPACR,0.0
BPACU,0.0
BPOP,10652594247.54
BPOPM,0.0
BPRN,254805121.5
BPYPM,0.0
BPYPN,0.0
BPYPO,0.0
BPYPP,0.0
BRAG,43061691.12
BRAI,1434374066.88
BRBI,293987971.2
BRCB,153598998.16
BREM,0.0
BRES,0.0
BREZU,0.0
BRFH,32287002.0
BRHY,0.0
BRID,60996311.04
BRKHU,0.0
BRKR,8389154138.64
BRKRP,0.0
BRKU,0.0
BRLS,28546196.98
BRLSW,0.0
BRLT,17071826.1
BRNS,27368758.31
BRNY,0.0
BRR,151257785.08
BRRR,0.0
BRRWW,0.0
BRTR,0.0
BRTX,9681704.6
BRUN,1112839437.84
BRUNW,0.0
BRZE,2169285944.94
BSAA,78318500.0
BSAAR,0.0
BSAAU,0.0
BSBK,117360672.0
BSCQ,0.0
BSCR,0.0
BSCS,0.0
BSCT,0.0
BSCU,0.0
BSCV,0.0
BSCW,0.0
BSCX,0.0
BSCY,0.0
BSCZ,0.0
BSET,136626297.2
BSJQ,0.0
BSJR,0.0
BSJS,0.0
BSJT,0.0
BSJU,0.0
BSJV,0.0
BSJW,0.0
BSJX,0.0
BSMQ,0.0
BSMR,0.0
BSMS,0.0
BSMT,0.0
BSMU,0.0
BSMV,0.0
BSMW,0.0
BSMY,0.0
BSMZ,0.0
BSRR,530360911.2
BSSX,0.0
BSVN,444457751.15
BSVO,0.0
BSY,8306641565.74
BTAI,38905782.3
BTBD,6493960.2
BTBDW,0.0
BTBT,747267498.8
BTCS,53259646.97
BTCT,12276897.75
BTDR,3427283585.13
BTF,0.0
BTGD,0.0
BTMD,65212563.75
BTOC,13178492.91
BTOG,3035327.9
BTQ,831373559.1
BTSG,13117912258.08
BTSGU,0.0
BTTC,8619696.8
BU,0.0
BUFC,0.0
BUFI,0.0
BUFM,0.0
BUG,0.0
BULD,0.0
BULG,0.0
BULL,2974452142.4
BULLW,0.0
BULX,0.0
BUSE,2442588380.8
BUSEP,0.0
BUUU,244191600.0
BVC,1680000000.0
BVFL,182790751.15
BVS,629379365.92
BWAY,577462195.51
BWB,569936021.48
BWBBP,0.0
BWEN,113509962.6
BWFG,458617313.6
BWIN,2377779978.06
BWMN,514027070.24
BYAH,5482541.28
BYFC,59208663.1
BYND,350432826.56
BYRN,125224810.08
BYSI,66202910.2
BZ,5085998661.42
BZAI,210603202.28
BZAIW,
BZFD,127296061.2
BZFDW,0.0
BZUN,148734620.93
CAAS,132147674.76
CABA,492425483.92
CABR,10637062.02
CAC,892756810.4
CACC,6171128087.87
CADL,665293770.12
CAFG,0.0
CAI,4975180232.0
CAIIU,0.0
CAIQ,0.0
CAKE,3828257219.15
CALC,12638424.8
CALI,0.0
CALM,3769755107.16
CAMP,226396488.0
CAMT,7799473959.03
CAN,246408001.78
CANC,0.0
CANQ,0.0
CAPN,58327654.76
CAPNR,0.0
CAPNU,0.0
CAPR,1714192032.8
CAPS,3408994.35
CAQ,172680422.06
CAQUU,0.0
CAQUW,0.0
CAR,6727996833.56
CARE,718437583.3
CARG,2312552613.12
CARL,290606933.77
CART,10832524127.26
CARY,0.0
CARZ,0.0
CASH,1794141789.66
CASS,641240643.18
CAST,226457597.24
CASY,30784017907.46
CATH,0.0
